Product Name,Product ID,Color,Shape Dimensions
Fiberglass Sheet,FGS001,White,"4'x8'x1/16"""
Fiberglass Tube,FGT001,Black,"3"" Diameter, 1/8"" Wall Thickness, 6' Length"
Fiberglass Rod,FGR001,Yellow,"1"" Diameter, 8' Length"
Fiberglass Angle,FGA001,Red,"2"" Leg Length, 1/4"" Thickness, 10' Length"
Fiberglass Channel,FGC001,Green,"3"" Leg Length, 1/8"" Thickness, 12' Length"
Fiberglass I-Beam,FGIB001,Gray,"6"" Flange Width, 4"" Web Width, 3/8"" Thickness, 20' Length"
Fiberglass Round Tube,FGRT001,Blue,"1.5"" Diameter, 1/4"" Wall Thickness, 8' Length"
Fiberglass Flat Bar,FGFB001,Orange,"1"" Width, 1/8"" Thickness, 10' Length"
Fiberglass Square Tube,FGST001,Brown,"2"" x 2"" Outside Dimension, 1/4"" Wall Thickness, 8' Length"
Fiberglass U-Channel,FGUC001,Purple,"4"" Leg Length, 3/8"" Thickness, 12' Length"
Fiberglass Z-Channel,FGZC001,Turquoise,"2"" Leg Length, 1/4"" Thickness, 10' Length"
Fiberglass T-Bar,FGTT001,Pink,"3"" Flange Width, 2"" Web Width, 1/8"" Thickness, 20' Length"
Fiberglass Pipe,FGPP001,Light Green,"4"" Diameter, 1/4"" Wall Thickness, 10' Length"
Fiberglass Rectangular Tube,FGRT002,Dark Green,"2"" x 4"" Outside Dimension, 1/8"" Wall Thickness, 8' Length"
Fiberglass Hexagon Bar,FGHB001,Silver,"1"" Across Flats, 1/4"" Thickness, 10' Length"
Fiberglass Octagon Bar,FGOB001,Gold,"2"" Across Flats, 3/8"" Thickness, 12' Length"
Fiberglass Diamond Plate,FGDP001,Black,"4' x 8' Sheet, 1/8"" Thickness"
Fiberglass Triangular Tube,FGTT002,Gray,"2"" Base, 1/8"" Thickness, 8' Length"
Fiberglass Round Bar,FGRB001,Red,"1.5"" Diameter, 10' Length"
Fiberglass Square Bar,FGQB001,Blue,"2"" x 2"" Outside Dimension, 1/4"" Thickness, 8' Length"
